# Table 
0 0.107709 0.297662 0.296631 0.297998 0.0277915 0.027844 0.0277584 0.00177097 0.00396955 0.00326224 0.00371693 0.000588779 0.000468796 0.000592235
0.5 0.108832 0.264867 0.325812 0.300488 0.0309598 0.0256281 0.0283181 0.00153166 0.00401077 0.00590344 0.00333531 0.000381652 0.00068087 0.000439143
1 0.110869 0.244445 0.348009 0.296677 0.0335534 0.0243985 0.0295913 0.00133727 0.00319707 0.0048444 0.00293708 0.000466302 0.000501134 0.000364399
1.5 0.114051 0.235598 0.356054 0.294296 0.0353883 0.0244716 0.0309244 0.00121983 0.00268302 0.00408629 0.00262192 0.000424187 0.000428764 0.000355881
2 0.115872 0.229983 0.362795 0.29135 0.0364596 0.0244225 0.0319027 0.00114694 0.0028448 0.00375238 0.00249189 0.000494784 0.000394677 0.000316186
2.5 0.117524 0.226482 0.367528 0.288465 0.0372643 0.0245128 0.0327165 0.00111077 0.00238242 0.00301192 0.00230952 0.000516424 0.00031694 0.000333213
3 0.11809 0.22489 0.371488 0.285532 0.0375054 0.0244487 0.0332187 0.0014021 0.0025239 0.00358231 0.00246286 0.000587555 0.000426493 0.000441838
3.5 0.118475 0.223255 0.375073 0.283196 0.0377301 0.0244067 0.0335863 0.00141957 0.00268151 0.00294238 0.00224071 0.000616456 0.000374873 0.000463794
4 0.11821 0.221893 0.377872 0.282025 0.0377221 0.0242357 0.0336548 0.00156438 0.00299572 0.00353517 0.00313121 0.000714138 0.000404158 0.000514224
4.5 0.118283 0.221817 0.378869 0.28103 0.0376811 0.0242399 0.0337492 0.00186472 0.00289203 0.00330446 0.00273954 0.000714297 0.000493616 0.00058842
5 0.118262 0.221474 0.381221 0.279044 0.0376718 0.0241637 0.0339184 0.00195146 0.00346585 0.00366488 0.00239296 0.000844824 0.000518361 0.00055711
5.5 0.118306 0.220688 0.38212 0.278885 0.0377552 0.0241399 0.0339271 0.00212323 0.00341427 0.00359666 0.00291764 0.000860093 0.000533509 0.000737452
6 0.11832 0.220387 0.382909 0.278383 0.0377626 0.0241095 0.0339643 0.00211243 0.00355667 0.00409198 0.00300737 0.000852709 0.000543419 0.00067218
6.5 0.118081 0.219104 0.385223 0.277591 0.0378009 0.0239793 0.033995 0.00187094 0.00376699 0.00365116 0.00261462 0.000854041 0.000485465 0.000558439
7 0.11828 0.219152 0.385107 0.27746 0.0378504 0.0240518 0.034057 0.00180581 0.00291628 0.0039653 0.00302968 0.000720274 0.000485402 0.000570041
7.5 0.117962 0.219043 0.386057 0.276938 0.0377641 0.0239225 0.033984 0.00196057 0.00360911 0.00341323 0.00296014 0.00084662 0.000508258 0.000642024
8 0.117942 0.219209 0.38643 0.276419 0.0376632 0.0239166 0.034036 0.00213023 0.0029252 0.00370933 0.00275516 0.000822848 0.000555083 0.000600395
